observed_at,management_id,note_key,views,likes,comments
2026-08-17,LIFE-008,n69aa219b9a4f,25,6,0
2026-08-17,LIFE-009,n4d6edde95632,15,6,0
2026-08-18,CRAFT-001,nf1fcb315c3b5,120,25,0
2026-08-18,OTEPAY-002,n19fca6a0bced,91,21,5
2026-08-18,OTEPAY-004,n9743a1c5dfdf,87,17,0
2026-08-18,OTEPAY-009,na5bdf99d5706,85,11,0
2026-08-18,OTEPAY-001,n6396852d7c6a,82,19,0
2026-08-18,LIFE-004,nffa7e9ae3234,74,18,2
2026-08-18,LIFE-003,n003e73497ad9,66,12,0
2026-08-18,PLAYVEE-001,n3cb576e5f930,65,12,0
2026-08-18,LIFE-006,n41dd15343129,65,10,0
2026-08-18,OTHER-001,n11933f33e051,62,18,0
2026-08-18,OTEPAY-003,nf27bdd46ade5,62,15,0
2026-08-18,OTEPAY-005,n30fda5bfa761,59,14,0
2026-08-18,CRAFT-003,nf9c5e7c96ad4,56,13,2
2026-08-18,CRAFT-005,ne9d6aa722ef5,56,22,2
2026-08-18,AILAB-001,n82c683a34214,55,19,0
2026-08-18,LIFE-005,n265870eeb1fa,52,16,0
2026-08-18,CRAFT-004,n88c4129a954e,51,11,0
2026-08-18,LIFE-007,n206593e0ab29,51,19,0
2026-08-18,CRAFT-002,n2e454f52ac1b,43,7,0
2026-08-18,OTEPAY-008,n7e41c4f77a39,40,5,0
2026-08-18,AILAB-002,n3eae2826d2a6,39,11,2
2026-08-18,OTEPAY-007,n5f9f033b9984,37,11,0
2026-08-18,OTEPAY-010,n7a4f8948b729,37,8,0
2026-08-18,OTHER-002,n4dda5432aab6,38,12,0
2026-08-18,OTEPAY-006,n4a254917eef4,32,7,0
2026-08-18,LIFE-001,n9ba1ab2ca292,26,4,0
2026-08-18,LIFE-002,n980384a715f5,23,5,0
2026-08-18,LIFE-008,n69aa219b9a4f,26,6,0
2026-08-18,LIFE-009,n4d6edde95632,24,8,0
2026-08-19,CRAFT-001,nf1fcb315c3b5,120,25,0
2026-08-19,OTEPAY-002,n19fca6a0bced,91,21,5
2026-08-19,OTEPAY-004,n9743a1c5dfdf,87,17,0
2026-08-19,OTEPAY-009,na5bdf99d5706,85,11,0
2026-08-19,OTEPAY-001,n6396852d7c6a,82,19,0
2026-08-19,LIFE-004,nffa7e9ae3234,74,18,2
2026-08-19,LIFE-003,n003e73497ad9,66,12,0
2026-08-19,PLAYVEE-001,n3cb576e5f930,65,12,0
2026-08-19,LIFE-006,n41dd15343129,66,10,0
2026-08-19,OTHER-001,n11933f33e051,62,18,0
2026-08-19,OTEPAY-003,nf27bdd46ade5,62,15,0
2026-08-19,OTEPAY-005,n30fda5bfa761,59,14,0
2026-08-19,CRAFT-003,nf9c5e7c96ad4,56,13,2
2026-08-19,CRAFT-005,ne9d6aa722ef5,56,22,2
2026-08-19,AILAB-001,n82c683a34214,55,19,0
2026-08-19,LIFE-005,n265870eeb1fa,54,16,0
2026-08-19,CRAFT-004,n88c4129a954e,51,11,0
2026-08-19,LIFE-007,n206593e0ab29,51,19,0
2026-08-19,CRAFT-002,n2e454f52ac1b,43,7,0
2026-08-19,OTEPAY-008,n7e41c4f77a39,40,5,0
2026-08-19,AILAB-002,n3eae2826d2a6,40,11,2
2026-08-19,OTEPAY-007,n5f9f033b9984,37,11,0
2026-08-19,OTEPAY-010,n7a4f8948b729,37,8,0
2026-08-19,OTHER-002,n4dda5432aab6,40,13,0
2026-08-19,OTEPAY-006,n4a254917eef4,32,7,0
2026-08-19,LIFE-001,n9ba1ab2ca292,26,4,0
2026-08-19,LIFE-002,n980384a715f5,23,5,0
2026-08-19,LIFE-008,n69aa219b9a4f,32,6,0
2026-08-19,LIFE-009,n4d6edde95632,40,9,0
2026-08-19,LIFE-010,n4f304f74e11f,29,4,0
2026-08-19,,nd1b3c376d573,19,6,0
2026-08-20,CRAFT-001,nf1fcb315c3b5,120,25,0
2026-08-20,OTEPAY-002,n19fca6a0bced,91,21,5
2026-08-20,OTEPAY-004,n9743a1c5dfdf,87,17,0
2026-08-20,OTEPAY-009,na5bdf99d5706,85,11,0
2026-08-20,OTEPAY-001,n6396852d7c6a,82,19,0
2026-08-20,LIFE-004,nffa7e9ae3234,74,18,2
2026-08-20,LIFE-003,n003e73497ad9,68,13,0
2026-08-20,PLAYVEE-001,n3cb576e5f930,65,12,0
2026-08-20,LIFE-006,n41dd15343129,66,10,0
2026-08-20,OTHER-001,n11933f33e051,62,18,0
2026-08-20,OTEPAY-003,nf27bdd46ade5,62,15,0
2026-08-20,OTEPAY-005,n30fda5bfa761,59,14,0
2026-08-20,CRAFT-003,nf9c5e7c96ad4,57,13,2
2026-08-20,CRAFT-005,ne9d6aa722ef5,58,23,2
2026-08-20,AILAB-001,n82c683a34214,55,19,0
2026-08-20,LIFE-005,n265870eeb1fa,54,16,0
2026-08-20,CRAFT-004,n88c4129a954e,51,11,0
2026-08-20,LIFE-007,n206593e0ab29,51,19,0
2026-08-20,CRAFT-002,n2e454f52ac1b,43,7,0
2026-08-20,OTEPAY-008,n7e41c4f77a39,40,5,0
2026-08-20,AILAB-002,n3eae2826d2a6,40,11,2
2026-08-20,OTEPAY-007,n5f9f033b9984,37,11,0
2026-08-20,OTEPAY-010,n7a4f8948b729,37,8,0
2026-08-20,OTHER-002,n4dda5432aab6,40,13,0
2026-08-20,OTEPAY-006,n4a254917eef4,32,7,0
2026-08-20,LIFE-001,n9ba1ab2ca292,26,4,0
2026-08-20,LIFE-002,n980384a715f5,23,5,0
2026-08-20,LIFE-008,n69aa219b9a4f,32,6,0
2026-08-20,LIFE-009,n4d6edde95632,45,10,0
2026-08-20,LIFE-010,n4f304f74e11f,32,4,0
2026-08-20,LIFE-011,nd1b3c376d573,26,11,0
2026-08-21,CRAFT-001,nf1fcb315c3b5,120,25,0
2026-08-21,OTEPAY-002,n19fca6a0bced,91,21,5
2026-08-21,OTEPAY-004,n9743a1c5dfdf,87,17,0
2026-08-21,OTEPAY-009,na5bdf99d5706,85,11,0
2026-08-21,OTEPAY-001,n6396852d7c6a,82,19,0
2026-08-21,LIFE-004,nffa7e9ae3234,74,18,2
2026-08-21,LIFE-003,n003e73497ad9,69,13,0
2026-08-21,PLAYVEE-001,n3cb576e5f930,65,12,0
2026-08-21,LIFE-006,n41dd15343129,66,10,0
2026-08-21,OTHER-001,n11933f33e051,62,18,0
2026-08-21,OTEPAY-003,nf27bdd46ade5,62,15,0
2026-08-21,OTEPAY-005,n30fda5bfa761,59,14,0
2026-08-21,CRAFT-003,nf9c5e7c96ad4,57,13,2
2026-08-21,CRAFT-005,ne9d6aa722ef5,58,23,2
2026-08-21,AILAB-001,n82c683a34214,55,19,0
2026-08-21,LIFE-005,n265870eeb1fa,54,16,0
2026-08-21,CRAFT-004,n88c4129a954e,51,11,0
2026-08-21,LIFE-007,n206593e0ab29,51,19,0
2026-08-21,CRAFT-002,n2e454f52ac1b,43,7,0
2026-08-21,OTEPAY-008,n7e41c4f77a39,40,5,0
2026-08-21,AILAB-002,n3eae2826d2a6,40,11,2
2026-08-21,OTEPAY-007,n5f9f033b9984,37,11,0
2026-08-21,OTEPAY-010,n7a4f8948b729,37,8,0
2026-08-21,OTHER-002,n4dda5432aab6,40,14,0
2026-08-21,OTEPAY-006,n4a254917eef4,32,7,0
2026-08-21,LIFE-001,n9ba1ab2ca292,26,4,0
2026-08-21,LIFE-002,n980384a715f5,23,5,0
2026-08-21,LIFE-008,n69aa219b9a4f,32,6,0
2026-08-21,LIFE-009,n4d6edde95632,48,11,0
2026-08-21,LIFE-010,n4f304f74e11f,36,5,0
2026-08-21,LIFE-011,nd1b3c376d573,32,12,0
2026-08-21,,n81b245ad2653,21,3,0
2026-08-22,CRAFT-001,nf1fcb315c3b5,120,25,0
2026-08-22,OTEPAY-002,n19fca6a0bced,91,21,5
2026-08-22,OTEPAY-004,n9743a1c5dfdf,87,17,0
2026-08-22,OTEPAY-009,na5bdf99d5706,85,11,0
2026-08-22,OTEPAY-001,n6396852d7c6a,82,19,0
2026-08-22,LIFE-004,nffa7e9ae3234,74,18,2
2026-08-22,LIFE-003,n003e73497ad9,69,13,0
2026-08-22,PLAYVEE-001,n3cb576e5f930,65,12,0
2026-08-22,LIFE-006,n41dd15343129,67,10,0
2026-08-22,OTHER-001,n11933f33e051,62,18,0
2026-08-22,OTEPAY-003,nf27bdd46ade5,62,15,0
2026-08-22,OTEPAY-005,n30fda5bfa761,59,14,0
2026-08-22,CRAFT-003,nf9c5e7c96ad4,57,13,2
2026-08-22,CRAFT-005,ne9d6aa722ef5,59,23,2
2026-08-22,AILAB-001,n82c683a34214,55,19,0
2026-08-22,LIFE-005,n265870eeb1fa,54,16,0
2026-08-22,CRAFT-004,n88c4129a954e,51,11,0
2026-08-22,LIFE-007,n206593e0ab29,51,19,0
2026-08-22,CRAFT-002,n2e454f52ac1b,43,7,0
2026-08-22,OTEPAY-008,n7e41c4f77a39,40,5,0
2026-08-22,AILAB-002,n3eae2826d2a6,40,11,2
2026-08-22,OTEPAY-007,n5f9f033b9984,37,11,0
2026-08-22,OTEPAY-010,n7a4f8948b729,39,8,0
2026-08-22,OTHER-002,n4dda5432aab6,40,14,0
2026-08-22,OTEPAY-006,n4a254917eef4,32,7,0
2026-08-22,LIFE-001,n9ba1ab2ca292,26,4,0
2026-08-22,LIFE-002,n980384a715f5,23,5,0
2026-08-22,LIFE-008,n69aa219b9a4f,32,6,0
2026-08-22,LIFE-009,n4d6edde95632,48,11,0
2026-08-22,LIFE-010,n4f304f74e11f,36,5,0
2026-08-22,LIFE-011,nd1b3c376d573,34,12,0
2026-08-22,,n81b245ad2653,27,5,0
2026-08-23,CRAFT-001,nf1fcb315c3b5,120,25,0
2026-08-23,OTEPAY-002,n19fca6a0bced,91,21,5
2026-08-23,OTEPAY-004,n9743a1c5dfdf,87,17,0
2026-08-23,OTEPAY-009,na5bdf99d5706,85,11,0
2026-08-23,OTEPAY-001,n6396852d7c6a,82,19,0
2026-08-23,LIFE-004,nffa7e9ae3234,74,18,2
2026-08-23,LIFE-003,n003e73497ad9,69,13,0
2026-08-23,PLAYVEE-001,n3cb576e5f930,66,12,0
2026-08-23,LIFE-006,n41dd15343129,68,10,0
2026-08-23,OTHER-001,n11933f33e051,62,18,0
2026-08-23,OTEPAY-003,nf27bdd46ade5,62,15,0
2026-08-23,OTEPAY-005,n30fda5bfa761,59,14,0
2026-08-23,CRAFT-003,nf9c5e7c96ad4,57,13,2
2026-08-23,CRAFT-005,ne9d6aa722ef5,60,23,2
2026-08-23,AILAB-001,n82c683a34214,55,19,0
2026-08-23,LIFE-005,n265870eeb1fa,54,16,0
2026-08-23,CRAFT-004,n88c4129a954e,51,11,0
2026-08-23,LIFE-007,n206593e0ab29,51,19,0
2026-08-23,CRAFT-002,n2e454f52ac1b,43,7,0
2026-08-23,OTEPAY-008,n7e41c4f77a39,40,5,0
2026-08-23,AILAB-002,n3eae2826d2a6,40,11,2
2026-08-23,OTEPAY-007,n5f9f033b9984,37,11,0
2026-08-23,OTEPAY-010,n7a4f8948b729,40,8,0
2026-08-23,OTHER-002,n4dda5432aab6,40,14,0
2026-08-23,OTEPAY-006,n4a254917eef4,32,7,0
2026-08-23,LIFE-001,n9ba1ab2ca292,26,4,0
2026-08-23,LIFE-002,n980384a715f5,25,5,0
2026-08-23,LIFE-008,n69aa219b9a4f,33,6,0
2026-08-23,LIFE-009,n4d6edde95632,48,11,0
2026-08-23,LIFE-010,n4f304f74e11f,37,5,0
2026-08-23,LIFE-011,nd1b3c376d573,37,12,0
2026-08-23,LIFE-012,n81b245ad2653,33,7,0
2026-08-23,,n7e5f69222797,18,5,0
2026-08-24,CRAFT-001,nf1fcb315c3b5,120,25,0
2026-08-24,OTEPAY-002,n19fca6a0bced,91,21,5
2026-08-24,OTEPAY-004,n9743a1c5dfdf,87,17,0
2026-08-24,OTEPAY-009,na5bdf99d5706,85,11,0
2026-08-24,OTEPAY-001,n6396852d7c6a,82,19,0
2026-08-24,LIFE-004,nffa7e9ae3234,74,18,2
2026-08-24,LIFE-003,n003e73497ad9,69,13,0
2026-08-24,PLAYVEE-001,n3cb576e5f930,66,12,0
2026-08-24,LIFE-006,n41dd15343129,68,10,0
2026-08-24,OTHER-001,n11933f33e051,62,18,0
2026-08-24,OTEPAY-003,nf27bdd46ade5,62,15,0
2026-08-24,OTEPAY-005,n30fda5bfa761,59,14,0
2026-08-24,CRAFT-003,nf9c5e7c96ad4,57,13,2
2026-08-24,CRAFT-005,ne9d6aa722ef5,60,23,2
2026-08-24,AILAB-001,n82c683a34214,55,19,0
2026-08-24,LIFE-005,n265870eeb1fa,54,16,0
2026-08-24,CRAFT-004,n88c4129a954e,51,11,0
2026-08-24,LIFE-007,n206593e0ab29,51,19,0
2026-08-24,CRAFT-002,n2e454f52ac1b,43,7,0
2026-08-24,OTEPAY-008,n7e41c4f77a39,40,5,0
2026-08-24,AILAB-002,n3eae2826d2a6,40,11,2
2026-08-24,OTEPAY-007,n5f9f033b9984,37,11,0
2026-08-24,OTEPAY-010,n7a4f8948b729,40,8,0
2026-08-24,OTHER-002,n4dda5432aab6,41,14,0
2026-08-24,OTEPAY-006,n4a254917eef4,32,7,0
2026-08-24,LIFE-001,n9ba1ab2ca292,26,4,0
2026-08-24,LIFE-002,n980384a715f5,25,5,0
2026-08-24,LIFE-008,n69aa219b9a4f,33,6,0
2026-08-24,LIFE-009,n4d6edde95632,49,12,0
2026-08-24,LIFE-010,n4f304f74e11f,37,5,0
2026-08-24,LIFE-011,nd1b3c376d573,39,12,0
2026-08-24,LIFE-012,n81b245ad2653,33,7,0
2026-08-24,OTEPAY-11,n7e5f69222797,20,6,0
2026-08-25,CRAFT-001,nf1fcb315c3b5,120,25,0
2026-08-25,OTEPAY-002,n19fca6a0bced,91,21,5
2026-08-25,OTEPAY-004,n9743a1c5dfdf,87,17,0
2026-08-25,OTEPAY-009,na5bdf99d5706,88,12,0
2026-08-25,OTEPAY-001,n6396852d7c6a,82,19,0
2026-08-25,LIFE-004,nffa7e9ae3234,74,18,2
2026-08-25,LIFE-003,n003e73497ad9,69,13,0
2026-08-25,PLAYVEE-001,n3cb576e5f930,66,12,0
2026-08-25,LIFE-006,n41dd15343129,68,10,0
2026-08-25,OTHER-001,n11933f33e051,62,18,0
2026-08-25,OTEPAY-003,nf27bdd46ade5,62,15,0
2026-08-25,OTEPAY-005,n30fda5bfa761,59,14,0
2026-08-25,CRAFT-003,nf9c5e7c96ad4,57,13,2
2026-08-25,CRAFT-005,ne9d6aa722ef5,60,23,2
2026-08-25,AILAB-001,n82c683a34214,55,19,0
2026-08-25,LIFE-005,n265870eeb1fa,54,16,0
2026-08-25,CRAFT-004,n88c4129a954e,51,11,0
2026-08-25,LIFE-007,n206593e0ab29,51,19,0
2026-08-25,CRAFT-002,n2e454f52ac1b,43,7,0
2026-08-25,OTEPAY-008,n7e41c4f77a39,40,5,0
2026-08-25,AILAB-002,n3eae2826d2a6,40,11,2
2026-08-25,OTEPAY-007,n5f9f033b9984,37,11,0
2026-08-25,OTEPAY-010,n7a4f8948b729,41,8,0
2026-08-25,OTHER-002,n4dda5432aab6,41,15,0
2026-08-25,OTEPAY-006,n4a254917eef4,32,7,0
2026-08-25,LIFE-001,n9ba1ab2ca292,26,4,0
2026-08-25,LIFE-002,n980384a715f5,25,5,0
2026-08-25,LIFE-008,n69aa219b9a4f,36,6,0
2026-08-25,LIFE-009,n4d6edde95632,49,12,0
2026-08-25,LIFE-010,n4f304f74e11f,37,5,0
2026-08-25,LIFE-011,nd1b3c376d573,39,12,0
2026-08-25,LIFE-012,n81b245ad2653,33,7,0
2026-08-25,OTEPAY-11,n7e5f69222797,22,7,0
2026-08-25,,n8cdbb5eff743,21,3,0
2026-08-26,CRAFT-001,nf1fcb315c3b5,120,25,0
2026-08-26,OTEPAY-002,n19fca6a0bced,91,21,5
2026-08-26,OTEPAY-004,n9743a1c5dfdf,87,17,0
2026-08-26,OTEPAY-009,na5bdf99d5706,88,12,0
2026-08-26,OTEPAY-001,n6396852d7c6a,82,19,0
2026-08-26,LIFE-004,nffa7e9ae3234,74,18,2
2026-08-26,LIFE-003,n003e73497ad9,69,13,0
2026-08-26,PLAYVEE-001,n3cb576e5f930,66,12,0
2026-08-26,LIFE-006,n41dd15343129,69,10,0
2026-08-26,OTHER-001,n11933f33e051,62,18,0
2026-08-26,OTEPAY-003,nf27bdd46ade5,62,15,0
2026-08-26,OTEPAY-005,n30fda5bfa761,59,14,0
2026-08-26,CRAFT-003,nf9c5e7c96ad4,57,13,2
2026-08-26,CRAFT-005,ne9d6aa722ef5,60,23,2
2026-08-26,AILAB-001,n82c683a34214,55,19,0
2026-08-26,LIFE-005,n265870eeb1fa,54,16,0
2026-08-26,CRAFT-004,n88c4129a954e,51,11,0
2026-08-26,LIFE-007,n206593e0ab29,51,19,0
2026-08-26,CRAFT-002,n2e454f52ac1b,43,7,0
2026-08-26,OTEPAY-008,n7e41c4f77a39,40,5,0
2026-08-26,AILAB-002,n3eae2826d2a6,40,11,2
2026-08-26,OTEPAY-007,n5f9f033b9984,37,11,0
2026-08-26,OTEPAY-010,n7a4f8948b729,41,8,0
2026-08-26,OTHER-002,n4dda5432aab6,41,15,0
2026-08-26,OTEPAY-006,n4a254917eef4,32,7,0
2026-08-26,LIFE-001,n9ba1ab2ca292,26,4,0
2026-08-26,LIFE-002,n980384a715f5,25,5,0
2026-08-26,LIFE-008,n69aa219b9a4f,36,6,0
2026-08-26,LIFE-009,n4d6edde95632,49,12,0
2026-08-26,LIFE-010,n4f304f74e11f,38,6,0
2026-08-26,LIFE-011,nd1b3c376d573,40,12,0
2026-08-26,LIFE-012,n81b245ad2653,34,7,0
2026-08-26,OTEPAY-11,n7e5f69222797,22,7,0
2026-08-26,LIFE-013,n8cdbb5eff743,29,4,0
2026-08-27,CRAFT-001,nf1fcb315c3b5,120,25,0
2026-08-27,OTEPAY-002,n19fca6a0bced,91,21,5
2026-08-27,OTEPAY-004,n9743a1c5dfdf,87,17,0
2026-08-27,OTEPAY-009,na5bdf99d5706,88,12,0
2026-08-27,OTEPAY-001,n6396852d7c6a,82,19,0
2026-08-27,LIFE-004,nffa7e9ae3234,74,18,2
2026-08-27,LIFE-003,n003e73497ad9,69,13,0
2026-08-27,PLAYVEE-001,n3cb576e5f930,66,12,0
2026-08-27,LIFE-006,n41dd15343129,69,10,0
2026-08-27,OTHER-001,n11933f33e051,62,18,0
2026-08-27,OTEPAY-003,nf27bdd46ade5,62,15,0
2026-08-27,OTEPAY-005,n30fda5bfa761,59,14,0
2026-08-27,CRAFT-003,nf9c5e7c96ad4,57,13,2
2026-08-27,CRAFT-005,ne9d6aa722ef5,60,23,2
2026-08-27,AILAB-001,n82c683a34214,55,19,0
2026-08-27,LIFE-005,n265870eeb1fa,54,16,0
2026-08-27,CRAFT-004,n88c4129a954e,51,11,0
2026-08-27,LIFE-007,n206593e0ab29,51,19,0
2026-08-27,CRAFT-002,n2e454f52ac1b,44,7,0
2026-08-27,OTEPAY-008,n7e41c4f77a39,40,5,0
2026-08-27,AILAB-002,n3eae2826d2a6,40,11,2
2026-08-27,OTEPAY-007,n5f9f033b9984,37,11,0
2026-08-27,OTEPAY-010,n7a4f8948b729,41,8,0
2026-08-27,OTHER-002,n4dda5432aab6,42,17,0
2026-08-27,OTEPAY-006,n4a254917eef4,32,7,0
2026-08-27,LIFE-001,n9ba1ab2ca292,26,4,0
2026-08-27,LIFE-002,n980384a715f5,25,5,0
2026-08-27,LIFE-008,n69aa219b9a4f,36,6,0
2026-08-27,LIFE-009,n4d6edde95632,49,12,0
2026-08-27,LIFE-010,n4f304f74e11f,38,6,0
2026-08-27,LIFE-011,nd1b3c376d573,40,12,0
2026-08-27,LIFE-012,n81b245ad2653,35,7,0
2026-08-27,OTEPAY-11,n7e5f69222797,22,8,0
2026-08-27,LIFE-013,n8cdbb5eff743,30,4,0
2026-08-27,,nb8c2ecd53761,12,2,0
2026-08-28,CRAFT-001,nf1fcb315c3b5,120,25,0
2026-08-28,OTEPAY-002,n19fca6a0bced,91,21,5
2026-08-28,OTEPAY-004,n9743a1c5dfdf,87,17,0
2026-08-28,OTEPAY-009,na5bdf99d5706,88,12,0
2026-08-28,OTEPAY-001,n6396852d7c6a,82,19,0
2026-08-28,LIFE-004,nffa7e9ae3234,76,18,2
2026-08-28,LIFE-003,n003e73497ad9,69,13,0
2026-08-28,PLAYVEE-001,n3cb576e5f930,66,12,0
2026-08-28,LIFE-006,n41dd15343129,70,10,0
2026-08-28,OTHER-001,n11933f33e051,62,18,0
2026-08-28,OTEPAY-003,nf27bdd46ade5,62,15,0
2026-08-28,OTEPAY-005,n30fda5bfa761,59,14,0
2026-08-28,CRAFT-003,nf9c5e7c96ad4,57,13,2
2026-08-28,CRAFT-005,ne9d6aa722ef5,60,23,2
2026-08-28,AILAB-001,n82c683a34214,55,19,0
2026-08-28,LIFE-005,n265870eeb1fa,55,16,0
2026-08-28,CRAFT-004,n88c4129a954e,51,11,0
2026-08-28,LIFE-007,n206593e0ab29,51,19,0
2026-08-28,CRAFT-002,n2e454f52ac1b,44,7,0
2026-08-28,OTEPAY-008,n7e41c4f77a39,40,5,0
